,taxon_name_w_authors,v10_11_12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
70761,Rubia peregrina var. genuina Lange,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70762,Rubia peregrina subsp. requienii (Duby) Cardona & Sierra,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. requienii (Duby) Cardona & Sierra,Rubia peregrina L.
70763,Rubia requienii Duby,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. requienii (Duby) Cardona & Sierra,Rubia peregrina L.
70764,Rubia peregrina var. typica Rouy & E.G.Camus,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70765,Rubia reiseri Halácsy ex Hayek,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70766,Rubia peregrina var. vulgaris Rouy & E.G.Camus,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70767,Rubia splendens Hoffmanns. & Link,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70768,Rubia lucida var. pubescens Lange,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70769,Rubia lucida L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70770,Rubia linearifolia Bonnier,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70771,Rubia longifolia Poir.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. longifolia (Poir.) O.Bolòs,Rubia peregrina L.
70772,Rubia grandifolia Sennen,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70773,Rubia clementii Sennen,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70774,Rubia barcinonensis Sennen,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70775,Rubia bocconii Petagna,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70776,Rubia dalmatica Scheele,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70777,Rubia fontqueri Sennen,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70778,Rubia erratica Bubani,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70779,Rubia anglica Huds.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70780,Rubia angustifolia L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
70781,Rubia aucheri K.Koch,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina L.,Rubia peregrina subsp. peregrina,Rubia peregrina L.
71315,Salvia campanulata var. hirtella E.Peter,Salvia campanulata Wall. ex Benth.,Salvia campanulata Wall. ex Benth.,Salvia campanulata Wall. ex Benth.,Salvia campanulata Wall. ex Benth.,Salvia clementiae Pendry & Y.K.Wei,Salvia clementiae Pendry & Y.K.Wei
71342,Salvia menthifolia Ten.,Salvia chamaedryoides Cav.,Salvia chamaedryoides Cav.,Salvia chamaedryoides Cav.,Salvia chamaedryoides Cav.,Salvia microphylla Kunth,Salvia microphylla Kunth
73540,Serapias strictiflora subsp. gregaria (Godfery) Kreutz,Serapias olbia Verg.,Serapias olbia Verg.,Serapias olbia Verg.,Serapias olbia Verg.,Serapias strictiflora Welw. ex Veiga,Serapias strictiflora Welw. ex Veiga
73541,Serapias olbia var. gregaria (Godfery) E.Nelson,Serapias olbia Verg.,Serapias olbia Verg.,Serapias olbia Verg.,Serapias olbia Verg.,Serapias strictiflora Welw. ex Veiga,Serapias strictiflora Welw. ex Veiga
74145,Holtonia Standl.,Simira Aubl.,Simira Aubl.,Simira Aubl.,,Holtonia Standl.,
75702,Stelis ochreata Lindl.,Stelis lindenii Lindl.,Stelis lindenii Lindl.,Stelis lindenii Lindl.,Stelis lindenii Lindl.,Stelis ochreata Lindl.,Stelis ochreata Lindl.
75758,Stelis sotoana Solano,Stelis purpurascens A.Rich. & Galeotti,Stelis purpurascens A.Rich. & Galeotti,Stelis purpurascens A.Rich. & Galeotti,Stelis purpurascens A.Rich. & Galeotti,Stelis sotoana Solano,Stelis sotoana Solano
75760,Stelis chiapensis Solano,Stelis purpurascens A.Rich. & Galeotti,Stelis purpurascens A.Rich. & Galeotti,Stelis purpurascens A.Rich. & Galeotti,Stelis purpurascens A.Rich. & Galeotti,Stelis chiapensis Solano,Stelis chiapensis Solano
76370,Syngonium glaucopetiolatum Croat,Syngonium hoffmannii Schott,Syngonium hoffmannii Schott,Syngonium hoffmannii Schott,Syngonium hoffmannii Schott,Syngonium glaucopetiolatum Croat,Syngonium glaucopetiolatum Croat
76543,Syzygium leptophlebioides Merr. & L.M.Perry,Syzygium branderhorstii Lauterb.,Syzygium branderhorstii Lauterb.,Syzygium branderhorstii Lauterb.,Syzygium branderhorstii Lauterb.,Syzygium leptophlebioides Merr. & L.M.Perry,Syzygium leptophlebioides Merr. & L.M.Perry
76561,Syzygium buxifolium var. verticillatum C.Chen,Syzygium buxifolium Hook. & Arn.,Syzygium buxifolium Hook. & Arn.,Syzygium buxifolium Hook. & Arn.,Syzygium buxifolium Hook. & Arn.,Syzygium verticillatum (C.Chen) G.Y.Li & Z.H.Chen,Syzygium verticillatum (C.Chen) G.Y.Li & Z.H.Chen
77154,Eugenia tenuiramis Miq.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Eugenia egensis DC.,Eugenia egensis DC.
77160,Eugenia egensis var. tenuiramis (Miq.) O.Berg,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Eugenia egensis DC.,Eugenia egensis DC.
77325,Tabernaemontana crispiflora K.Schum.,Tabernaemontana eglandulosa Stapf,Tabernaemontana eglandulosa Stapf,Tabernaemontana eglandulosa Stapf,Tabernaemontana eglandulosa Stapf,Tabernaemontana crispiflora K.Schum.,Tabernaemontana crispiflora K.Schum.
77328,Tabernaemontana brachypoda K.Schum.,Tabernaemontana eglandulosa Stapf,Tabernaemontana eglandulosa Stapf,Tabernaemontana eglandulosa Stapf,Tabernaemontana eglandulosa Stapf,Tabernaemontana brachypoda K.Schum.,Tabernaemontana brachypoda K.Schum.
77330,Gabunia latifolia Stapf,Tabernaemontana eglandulosa Stapf,Tabernaemontana eglandulosa Stapf,Tabernaemontana eglandulosa Stapf,Tabernaemontana eglandulosa Stapf,Tabernaemontana brachypoda K.Schum.,Tabernaemontana brachypoda K.Schum.
77550,Sarcochilus aphyllus Makino,Taeniophyllum glandulosum Blume,Taeniophyllum glandulosum Blume,Taeniophyllum glandulosum Blume,Taeniophyllum glandulosum Blume,Taeniophyllum aphyllum (Makino) Makino,Taeniophyllum aphyllum (Makino) Makino
77551,Cryptorchis aphylla Makino,Taeniophyllum glandulosum Blume,Taeniophyllum glandulosum Blume,Taeniophyllum glandulosum Blume,Taeniophyllum glandulosum Blume,Taeniophyllum aphyllum (Makino) Makino,Taeniophyllum aphyllum (Makino) Makino
78230,Teucrium cubense subsp. depressum (Small) E.M.McClint. & Epling,Teucrium cubense Jacq.,Teucrium cubense Jacq.,Teucrium cubense Jacq.,Teucrium cubense Jacq.,Teucrium depressum Small,Teucrium depressum Small
78343,Teucrium quadratulum Schreb.,Teucrium marum subsp. marum,Teucrium marum subsp. marum,Teucrium marum subsp. marum,Teucrium marum L.,Teucrium quadratulum Schreb.,Teucrium quadratulum Schreb.
78470,Teucrium buxifolium var. petrophyllum Pau,Teucrium thymifolium Schreb.,Teucrium thymifolium Schreb.,Teucrium thymifolium Schreb.,Teucrium thymifolium Schreb.,Teucrium thymifolium subsp. thymifolium,Teucrium thymifolium Schreb.
78922,Thymus serpyllum f. porcii (Borbás) Lyka,Thymus dacicus Borbás,Thymus dacicus Borbás,Thymus dacicus Borbás,Thymus dacicus Borbás,Thymus × porcii Borbás,Thymus × porcii Borbás
78941,Thymus euboeus Halácsy,Thymus dolopicus Formánek,Thymus dolopicus Formánek,Thymus dolopicus Formánek,Thymus dolopicus Formánek,Thymus leucotrichus subsp. leucotrichus,Thymus leucotrichus Halácsy
79030,Thymus serpyllum subsp. carolii Sennen & Ronniger,Thymus longicaulis C.Presl,Thymus longicaulis C.Presl,Thymus longicaulis C.Presl,Thymus longicaulis C.Presl,Thymus longicaulis subsp. longicaulis,Thymus longicaulis C.Presl
80257,Tubella (Luer) Archila,Trichosalpinx Luer,Trichosalpinx Luer,Trichosalpinx Luer,,Karma Karremans,
80718,Schoenomorphus capitatus Thorel ex Gagnep.,Tropidia curculigoides Lindl.,Tropidia curculigoides Lindl.,Tropidia curculigoides Lindl.,Tropidia curculigoides Lindl.,Tropidia capitata (Thorel ex Gagnep.) Ormerod,Tropidia capitata (Thorel ex Gagnep.) Ormerod
80743,Lazarum A.Hay,Typhonium Schott,Typhonium Schott,Typhonium Schott,,Lazarum A.Hay,
81202,Vanda testacea var. parviflora (Lindl.) M.R.Almeida,Vanda testacea (Lindl.) Rchb.f.,Vanda testacea (Lindl.) Rchb.f.,Vanda testacea (Lindl.) Rchb.f.,Vanda testacea (Lindl.) Rchb.f.,Vanda parviflora Lindl.,Vanda parviflora Lindl.
81205,Vanda parviflora Lindl.,Vanda testacea (Lindl.) Rchb.f.,Vanda testacea (Lindl.) Rchb.f.,Vanda testacea (Lindl.) Rchb.f.,Vanda testacea (Lindl.) Rchb.f.,Vanda parviflora Lindl.,Vanda parviflora Lindl.
81791,Clerodendrum ligustrinum var. nicaraguense Moldenke,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina var. nicaraguensis (Moldenke) Rueda,Volkameria ligustrina Jacq.
81793,Aegiphila paludosa Brandegee,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina var. ligustrina,Volkameria ligustrina Jacq.
81795,Clerodendrum ligustrinum var. paludosum (Brandegee) Moldenke,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina var. ligustrina,Volkameria ligustrina Jacq.
81796,Clerodendrum mexicanum Brandegee,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina var. ligustrina,Volkameria ligustrina Jacq.
81797,Clerodendrum culinare Sessé & Moc.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina Jacq.,Volkameria ligustrina var. ligustrina,Volkameria ligustrina Jacq.
82200,Metrosideros pictipetala Blanco,Xanthostemon verus (Roxb.) Peter G.Wilson,Xanthostemon verus (Roxb.) Peter G.Wilson,Xanthostemon verus (Roxb.) Peter G.Wilson,Xanthostemon verus (Roxb.) Peter G.Wilson,Decaspermum parviflorum subsp. parviflorum,Decaspermum parviflorum (Lam.) A.J.Scott
82843,Cryptophoranthus kautskyi Pabst,Acianthera crinita (Barb.Rodr.) Pridgeon & M.W.Chase,Acianthera crinita (Barb.Rodr.) Pridgeon & M.W.Chase,Acianthera crinita (Barb.Rodr.) Pridgeon & M.W.Chase,Acianthera crinita (Barb.Rodr.) Pridgeon & M.W.Chase,Acianthera kautskyi (Pabst) Toscano & E.C.Smidt,Acianthera kautskyi (Pabst) Toscano & E.C.Smidt
83007,Restrepia liebmanniana Kraenzl.,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,Acianthera strupifolia (Lindl.) Pridgeon & M.W.Chase,Andreettaea marginata (Rich.) A.Doucette,Andreettaea marginata (Rich.) A.Doucette
83545,Carex dessaueri Phil.,Carex banksii var. banksii,Carex banksii var. banksii,Carex banksii var. banksii,Carex banksii Boott,Carex odontolepis Phil.,Carex odontolepis Phil.
83701,Specklinia minutissima (Luer) Luer,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Lankesteriana barbulata (Lindl.) Karremans,Lankesteriana barbulata (Lindl.) Karremans,Lankesteriana minutissima (Luer) Karremans,Lankesteriana minutissima (Luer) Karremans
83703,Lankesteriana minutissima (Luer) Karremans,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Lankesteriana barbulata (Lindl.) Karremans,Lankesteriana barbulata (Lindl.) Karremans,Lankesteriana minutissima (Luer) Karremans,Lankesteriana minutissima (Luer) Karremans
83708,Pleurothallis nubensis Foldats,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Lankesteriana barbulata (Lindl.) Karremans,Lankesteriana barbulata (Lindl.) Karremans,Lankesteriana minima (C.Schweinf.) Karremans,Lankesteriana minima (C.Schweinf.) Karremans
83709,Pleurothallis minutissima Luer,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Anathallis barbulata (Lindl.) Pridgeon & M.W.Chase,Lankesteriana barbulata (Lindl.) Karremans,Lankesteriana barbulata (Lindl.) Karremans,Lankesteriana minutissima (Luer) Karremans,Lankesteriana minutissima (Luer) Karremans
83791,Pleurothallis citrina Schltr.,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis citrina (Schltr.) Pridgeon & M.W.Chase,Anathallis citrina (Schltr.) Pridgeon & M.W.Chase
83792,Pleurothallis guentheri Schltr.,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis citrina (Schltr.) Pridgeon & M.W.Chase,Anathallis citrina (Schltr.) Pridgeon & M.W.Chase
83794,Pleurothallis brachyantha Schltr.,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis citrina (Schltr.) Pridgeon & M.W.Chase,Anathallis citrina (Schltr.) Pridgeon & M.W.Chase
83796,Pleurothallis angustilabia Hoehne & Schltr.,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis citrina (Schltr.) Pridgeon & M.W.Chase,Anathallis citrina (Schltr.) Pridgeon & M.W.Chase
83797,Pleurothallis stenoglossa Pabst,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis obovata (Lindl.) Pridgeon & M.W.Chase,Anathallis citrina (Schltr.) Pridgeon & M.W.Chase,Anathallis citrina (Schltr.) Pridgeon & M.W.Chase
85117,Carex zollingeri Kunze ex Steud.,Carex alopecuroides D.Don,Carex alopecuroides D.Don,Carex alopecuroides D.Don,Carex alopecuroides D.Don,Carex doniana Spreng.,Carex doniana Spreng.
85170,Carex consocialis Steud.,Carex alopecuroides D.Don,Carex alopecuroides D.Don,Carex alopecuroides D.Don,Carex alopecuroides D.Don,Carex doniana Spreng.,Carex doniana Spreng.
85409,Carex atroviridis var. scabrocaudata T.Koyama,Carex multifolia var. multifolia,Carex multifolia var. multifolia,Carex multifolia var. multifolia,Carex multifolia Ohwi,Carex conica var. scabrocaudata (T.Koyama) Hatus. ex T.Hoshino,Carex conica Boott
85449,Carex banksii f. ochrostachys (Phil.) Kük.,Carex banksii var. banksii,Carex banksii var. banksii,Carex banksii var. banksii,Carex banksii Boott,Carex odontolepis Phil.,Carex odontolepis Phil.
85455,Carex gilliesii Phil.,Carex banksii var. banksii,Carex banksii var. banksii,Carex banksii var. banksii,Carex banksii Boott,Carex odontolepis Phil.,Carex odontolepis Phil.
85459,Carex ochrostachya Phil.,Carex banksii var. banksii,Carex banksii var. banksii,Carex banksii var. banksii,Carex banksii Boott,Carex odontolepis Phil.,Carex odontolepis Phil.
85460,Carex banksii var. gilliesii (Phil.) Kük.,Carex banksii var. banksii,Carex banksii var. banksii,Carex banksii var. banksii,Carex banksii Boott,Carex odontolepis Phil.,Carex odontolepis Phil.
85568,Carex lonchophora Ohwi,Carex breviculmis var. breviculmis,Carex breviculmis var. breviculmis,Carex breviculmis var. breviculmis,Carex breviculmis R.Br.,Carex lonchophora Ohwi,Carex lonchophora Ohwi
85570,Carex wardiana H.Lév. & Vaniot,Carex breviculmis var. breviculmis,Carex breviculmis var. breviculmis,Carex breviculmis var. breviculmis,Carex breviculmis R.Br.,Carex microtricha Franch.,Carex microtricha Franch.
85599,Carex brunnea var. nakiri Ohwi,Carex brunnea subsp. brunnea,Carex brunnea subsp. brunnea,Carex brunnea subsp. brunnea,Carex brunnea Thunb.,Carex lenta D.Don,Carex lenta D.Don
85601,Carex brunnea f. simplex Kük.,Carex brunnea subsp. brunnea,Carex brunnea subsp. brunnea,Carex brunnea subsp. brunnea,Carex brunnea Thunb.,Carex lenta D.Don,Carex lenta D.Don
85621,Carex nakiri Ohwi,Carex brunnea subsp. brunnea,Carex brunnea subsp. brunnea,Carex brunnea subsp. brunnea,Carex brunnea Thunb.,Carex lenta D.Don,Carex lenta D.Don
86002,Carex persistens Ohwi,Carex dispalata subsp. dispalata,Carex dispalata subsp. dispalata,Carex dispalata subsp. dispalata,Carex dispalata Boott,Carex persistens Ohwi,Carex persistens Ohwi
86030,Carex multifolia var. toriiana T.Koyama,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya Hayata,Carex multifolia var. toriiana T.Koyama,Carex multifolia Ohwi
86032,Carex multifolia var. globosa Ohwi,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya Hayata,Carex multifolia var. multifolia,Carex multifolia Ohwi
86033,Carex multifolia Ohwi,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya Hayata,Carex multifolia Ohwi,Carex multifolia Ohwi
86034,Carex multifolia var. glaberrima Ohwi,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya subsp. dolichostachya,Carex dolichostachya Hayata,Carex dolichostachya var. glaberrima (Ohwi) T.Koyama,Carex dolichostachya Hayata
86287,Carex sparsinux C.B.Clarke ex Franch.,Carex filipes var. filipes,Carex filipes var. filipes,Carex filipes var. filipes,Carex filipes Franch. & Sav.,Carex sparsinux C.B.Clarke ex Franch.,Carex sparsinux C.B.Clarke ex Franch.
86289,Carex filipes var. sparsinux (C.B.Clarke ex Franch.) Kük.,Carex filipes var. filipes,Carex filipes var. filipes,Carex filipes var. filipes,Carex filipes Franch. & Sav.,Carex sparsinux C.B.Clarke ex Franch.,Carex sparsinux C.B.Clarke ex Franch.
86409,Carex vulpi-caudata Akiyama,Carex gaudichaudiana Kunth,Carex gaudichaudiana Kunth,Carex gaudichaudiana Kunth,Carex gaudichaudiana Kunth,Carex appendiculata (Trautv. & C.A.Mey.) Kük.,Carex appendiculata (Trautv. & C.A.Mey.) Kük.
86461,Carex laticuspis Franch.,Carex gmelinii Hook. & Arn.,Carex gmelinii Hook. & Arn.,Carex gmelinii Hook. & Arn.,Carex gmelinii Hook. & Arn.,Carex lyngbyei Hornem.,Carex lyngbyei Hornem.
86967,Carex lepidocarpa var. intermedia (Coss. & Germ.) Asch. & Graebn.,Carex lepidocarpa Tausch,Carex lepidocarpa Tausch,Carex lepidocarpa Tausch,Carex lepidocarpa Tausch,Carex flava L.,Carex flava L.
87023,Carex ligata var. cucullata Kük.,Carex ligata Boott,Carex ligata Boott,Carex ligata Boott,Carex ligata Boott,Carex cucullata (Kük.) Ohwi,Carex cucullata (Kük.) Ohwi
87052,Carex fujimakii M.Kikuchi,Carex livida (Wahlenb.) Willd.,Carex livida (Wahlenb.) Willd.,Carex livida (Wahlenb.) Willd.,Carex livida (Wahlenb.) Willd.,Carex kujuzana Ohwi,Carex kujuzana Ohwi
87291,Carex antucensis Kunze ex Kunth,Carex nigra subsp. nigra,Carex nigra subsp. nigra,Carex nigra subsp. nigra,Carex nigra (L.) Reichard,Carex antucensis Kunze ex Kunth,Carex antucensis Kunze ex Kunth
87301,Carex nutans var. japonica Franch. & Sav.,Carex melanostachya M.Bieb. ex Willd.,Carex melanostachya M.Bieb. ex Willd.,Carex melanostachya M.Bieb. ex Willd.,Carex melanostachya M.Bieb. ex Willd.,Carex pumila Thunb.,Carex pumila Thunb.
87437,Carex fusca subsp. carpetana C.Vicioso ex Rivas Mart.,Carex nigra (L.) Reichard,Carex nigra (L.) Reichard,Carex nigra (L.) Reichard,Carex nigra (L.) Reichard,Carex nigra subsp. nigra,Carex nigra (L.) Reichard
87438,Carex nigra subsp. carpetana C.Vicioso ex Rivas Mart.,Carex nigra (L.) Reichard,Carex nigra (L.) Reichard,Carex nigra (L.) Reichard,Carex nigra (L.) Reichard,Carex nigra subsp. nigra,Carex nigra (L.) Reichard
87710,Carex wrightii var. lanceata Kük.,Carex oxyandra var. oxyandra,Carex oxyandra var. oxyandra,Carex oxyandra var. oxyandra,Carex oxyandra (Franch. & Sav.) Kudô,Carex oxyandra var. lanceata (Kük.) Ohwi,Carex oxyandra (Franch. & Sav.) Kudô
88330,Carex pseudoconica Franch. & Sav.,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex sachalinensis var. iwakiana Ohwi,Carex sachalinensis F.Schmidt
88337,Carex pisiformis var. alterniflora (Franch.) T.Koyama,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex alterniflora Franch.,Carex alterniflora Franch.
88338,Carex alterniflora var. rubrovaginata J.Oda & Nagam.,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex alterniflora var. rubrovaginata J.Oda & Nagam.,Carex alterniflora Franch.
88339,Carex duvaliana var. alterniflora (Franch.) Kük. ex Matsum.,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex alterniflora Franch.,Carex alterniflora Franch.
88340,Carex sachalinensis F.Schmidt,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex sachalinensis F.Schmidt,Carex sachalinensis F.Schmidt
88341,Carex sachalinensis subsp. alterniflora (Franch.) T.Koyama,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex alterniflora Franch.,Carex alterniflora Franch.
88342,Carex sachalinensis var. alterniflora (Franch.) Ohwi,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex alterniflora Franch.,Carex alterniflora Franch.
88343,Carex sachalinensis var. musashiensis Hiyama,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex alterniflora var. alterniflora,Carex alterniflora Franch.
88344,Carex pisiformis var. koreana (Nakai) T.Koyama,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex fernaldiana H.Lév. & Vaniot,Carex fernaldiana H.Lév. & Vaniot
88345,Carex pseudostrigosa H.Lév. & Vaniot,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex alterniflora var. alterniflora,Carex alterniflora Franch.
88346,Carex scabroaristata Akiyama,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex alterniflora var. alterniflora,Carex alterniflora Franch.
88347,Carex pisiformis f. polyschoena (H.Lév. & Vaniot) Kük.,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex polyschoena H.Lév. & Vaniot,Carex polyschoena H.Lév. & Vaniot
88348,Carex pisiformis var. sachalinensis (F.Schmidt) Kük. ex Matsum.,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex sachalinensis F.Schmidt,Carex sachalinensis F.Schmidt
88349,Carex polyschoena H.Lév. & Vaniot,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex polyschoena H.Lév. & Vaniot,Carex polyschoena H.Lév. & Vaniot
88350,Carex umbrosa var. coreana Nakai,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex fernaldiana H.Lév. & Vaniot,Carex fernaldiana H.Lév. & Vaniot
88351,Carex tenuissima Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex polyschoena H.Lév. & Vaniot,Carex polyschoena H.Lév. & Vaniot
88352,Carex ischne C.B.Clarke,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex fernaldiana H.Lév. & Vaniot,Carex fernaldiana H.Lév. & Vaniot
88353,Carex korsakoviensis H.Lév.,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex sachalinensis var. sachalinensis,Carex sachalinensis F.Schmidt
88354,Carex mariesii C.B.Clarke,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex pisiformis Boott,Carex fernaldiana H.Lév. & Vaniot,Carex fernaldiana H.Lév. & Vaniot
